iter_id,num_faces,total_complexity_score,mean_complexity_per_face,num_rays,elapsed_seconds
1,3,8.833333333333332,2.944444444444444,3000,5.824058699974557
1,3,8.833333333333332,2.944444444444444,3000,6.551144099998055
1,3,8.833333333333332,2.944444444444444,1000,4.84945969999535
1,3,8.833333333333332,2.944444444444444,1000,5.990445899980841
1,3,8.833333333333332,2.944444444444444,1000,5.836498999997275
1,3,8.833333333333332,2.944444444444444,1000,5.868853899999522
1,3,8.833333333333332,2.944444444444444,1000,6.048663099994883
1,3,8.833333333333332,2.944444444444444,1000,5.853652300022077
1,3,8.833333333333332,2.944444444444444,1000,5.8081013999762945
1,3,8.833333333333332,2.944444444444444,2000,8.379425399994943
1,3,8.833333333333332,2.944444444444444,2000,8.287486500048544
1,3,8.833333333333332,2.944444444444444,2000,8.023395600030199
1,3,8.833333333333332,2.944444444444444,2000,7.958634900045581
1,3,8.833333333333332,2.944444444444444,2000,8.239782800024841
1,3,8.833333333333332,2.944444444444444,2000,10.374525199993514
1,3,8.833333333333332,2.944444444444444,2000,8.077103700023144
1,3,8.833333333333332,2.944444444444444,2000,7.9331054000067525
1,3,8.833333333333332,2.944444444444444,2000,8.242880300036632
1,3,8.833333333333332,2.944444444444444,2000,8.382977800036315
1,3,8.833333333333332,2.944444444444444,2000,8.356498199980706
1,3,8.833333333333332,2.944444444444444,3000,10.719331400003284
1,3,8.833333333333332,2.944444444444444,3000,10.978819000010844
1,3,8.833333333333332,2.944444444444444,3000,10.430195400025696
1,3,8.833333333333332,2.944444444444444,3000,10.507195200014394
1,3,8.833333333333332,2.944444444444444,3000,10.60558430000674
1,3,8.833333333333332,2.944444444444444,4000,12.861092600040138
1,3,8.833333333333332,2.944444444444444,4000,12.672796799975913
1,3,8.833333333333332,2.944444444444444,4000,12.741173600021284
1,3,8.833333333333332,2.944444444444444,4000,12.992237000027671
1,3,8.833333333333332,2.944444444444444,4000,13.313359599967953
1,3,8.833333333333332,2.944444444444444,4000,12.194986100017559
1,3,8.833333333333332,2.944444444444444,4000,11.38313879998168
1,3,8.833333333333332,2.944444444444444,4000,11.55226510000648
1,3,8.833333333333332,2.944444444444444,4000,10.842996199964546
1,3,8.833333333333332,2.944444444444444,4000,10.816879799996968
1,3,8.833333333333332,2.944444444444444,4000,11.495214099995792
