iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,t_max_K,t_min_K
1,0.000248,0.000012,-0.074860,0.074861,1.000248,0.100012,-0.074860,1111,4.18,4.18
2,-0.006297,0.000018,-0.143208,0.143347,0.993602,0.100013,-0.143793,11,4.36,4.31
3,-0.017492,0.000023,-0.204456,0.205203,0.982507,0.100018,-0.204643,1,4.53,4.40
4,-0.031768,0.000045,-0.258821,0.260763,0.967890,0.100039,-0.259813,1112,4.71,4.45
5,-0.047711,0.000008,-0.306625,0.310315,0.951508,0.099999,-0.308393,1122,4.87,4.46
6,-0.064253,-0.000184,-0.348376,0.354252,0.934320,0.099806,-0.351099,11,5.04,4.44
7,-0.080661,-0.000373,-0.384858,0.393220,0.918222,0.099642,-0.387152,1,5.19,4.45
8,-0.096686,-0.000562,-0.416726,0.427796,0.900275,0.099456,-0.421147,1123,5.34,4.45
9,-0.112140,-0.000725,-0.444832,0.458750,0.884039,0.099293,-0.450024,1133,5.49,4.46
10,-0.126850,-0.000869,-0.469673,0.486502,0.868721,0.099148,-0.475408,11,5.62,4.46
11,-0.140788,-0.000992,-0.491779,0.511536,0.854783,0.099025,-0.497515,1,5.75,4.46
12,-0.153688,-0.001108,-0.511235,0.533837,0.840982,0.098908,-0.517652,1123,5.88,4.33
13,-0.165659,-0.001193,-0.528575,0.553928,0.828486,0.098821,-0.535363,1133,5.99,4.19
14,-0.176271,-0.001296,-0.543704,0.571565,0.817350,0.098716,-0.550839,11,6.10,4.05
15,-0.184295,-0.001398,-0.555853,0.585610,0.809326,0.098614,-0.562988,1,6.21,3.89
16,-0.191926,-0.001465,-0.566956,0.598562,0.799684,0.098546,-0.575309,1225,6.31,3.73
17,-0.197442,-0.001586,-0.575898,0.608806,0.794168,0.098425,-0.584251,113,6.41,3.56
18,-0.201191,-0.001582,-0.582796,0.616548,0.790418,0.098429,-0.591149,121,6.49,3.40
