iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,t_max_K,t_min_K
1,-0.029811,0.000030,-0.212778,0.214856,0.970189,0.100030,-0.212778,1111,4.55,4.55
2,-0.086358,0.000034,-0.359941,0.370155,0.913647,0.100023,-0.359921,11,5.09,4.67
3,-0.136968,0.000091,-0.452271,0.472556,0.863150,0.100079,-0.452109,1,5.57,4.67
4,-0.177180,-0.000047,-0.513189,0.542914,0.822938,0.099942,-0.513028,118,6.02,4.68
5,-0.211591,-0.000159,-0.559970,0.598612,0.788527,0.099829,-0.559809,109,6.45,4.31
6,-0.235271,-0.000413,-0.591942,0.636984,0.764764,0.099576,-0.591856,113,6.86,3.90
