iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,t_max_K,t_min_K
1,-0.003449,0.000012,-0.074692,0.074772,0.996551,0.100012,-0.074692,1111,4.18,4.18
2,-0.005752,0.000018,-0.101523,0.101686,0.994247,0.100013,-0.101527,11,4.34,2.27
3,-0.006983,0.000011,-0.113538,0.113752,0.993037,0.100007,-0.113419,1,4.48,2.75
4,-0.007883,0.000022,-0.121877,0.122132,0.992108,0.100123,-0.121887,1101,4.62,3.08
5,-0.008508,0.000009,-0.127736,0.128019,0.991518,0.100110,-0.127596,76,4.76,3.34
6,-0.009088,-0.000034,-0.133104,0.133414,0.990949,0.100067,-0.132919,84,4.89,3.55
7,-0.009608,-0.000043,-0.137813,0.138147,0.990432,0.100058,-0.137586,9,5.02,3.74
8,-0.010115,-0.000059,-0.142341,0.142700,0.989936,0.100042,-0.142061,79,5.14,3.90
9,-0.010551,-0.000096,-0.146249,0.146630,0.989509,0.100005,-0.145909,75,5.26,4.05
10,-0.010943,-0.000064,-0.149763,0.150163,0.989135,0.100037,-0.149350,86,5.39,4.19
11,-0.011307,-0.000088,-0.153044,0.153461,0.988787,0.100013,-0.152570,79,5.51,4.32
12,-0.011672,-0.000089,-0.156270,0.156706,0.988440,0.100012,-0.155726,78,5.62,4.45
13,-0.012006,-0.000084,-0.159245,0.159697,0.988124,0.100017,-0.158627,67,5.74,4.57
14,-0.012298,-0.000086,-0.161923,0.162389,0.987851,0.100015,-0.161235,67,5.86,4.69
15,-0.012609,-0.000092,-0.164679,0.165161,0.987560,0.100009,-0.163916,80,5.97,4.80
16,-0.012910,-0.000099,-0.167336,0.167833,0.987279,0.100001,-0.166501,76,6.09,4.92
17,-0.013165,-0.000105,-0.169704,0.170214,0.987042,0.099996,-0.168797,82,6.20,5.03
18,-0.013438,-0.000088,-0.172131,0.172655,0.986781,0.100013,-0.171163,11,6.31,5.14
