iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,tmax_K,tmin_K
1,-0.013482,0.000021,-0.144713,0.145340,0.986518,0.100021,-0.144713,1111,4.37,4.37
2,-0.042547,0.000028,-0.255590,0.259107,0.957453,0.100028,-0.255590,1111,4.73,4.55
3,-0.075795,0.000033,-0.340237,0.348577,0.924205,0.100033,-0.340237,1111,5.09,4.57
4,-0.108428,0.000033,-0.405506,0.419752,0.891572,0.100033,-0.405506,1111,5.42,4.61
5,-0.138686,0.000018,-0.456641,0.477237,0.861314,0.100018,-0.456641,1111,5.72,4.65
6,-0.166093,0.000015,-0.497449,0.524445,0.833907,0.100015,-0.497449,1111,6.00,4.69
7,-0.190574,-0.000008,-0.530501,0.563692,0.809426,0.099992,-0.530501,1111,6.26,4.43
8,-0.210934,-0.000032,-0.556665,0.595289,0.789066,0.099968,-0.556665,1111,6.50,4.16
9,-0.225966,-0.000051,-0.576385,0.619096,0.774034,0.099949,-0.576385,1111,6.72,3.83
