iter_id,num_faces,total_complexity_score,mean_complexity_per_face,num_rays,elapsed_seconds
1,1,2.0,2.0,3000,2.3980701999971643
2,1,2.25,2.25,3000,3.0253040000097826
3,1,3.75,3.75,3000,2.4758998999895994
4,1,3.75,3.75,3000,2.503255399991758
5,1,7.0,7.0,3000,2.959150199982105
6,1,7.0,7.0,3000,3.1134891000110656
7,1,7.125,7.125,3000,3.376922800001921
8,1,7.0,7.0,3000,3.194459599995753
9,1,7.0,7.0,3000,3.2283001000178047
1,1,2.0,2.0,4000,3.007628100021975
2,1,2.25,2.25,4000,3.7760870999773033
3,1,3.75,3.75,4000,3.081913399975747
4,1,3.75,3.75,4000,3.045166399999289
5,1,7.0,7.0,4000,3.643227799999295
6,1,7.0,7.0,4000,3.7588241000194103
7,1,7.125,7.125,4000,4.160726100002648
8,1,7.0,7.0,4000,3.9018615999957547
9,1,7.0,7.0,4000,3.936104399996111
comparison,1,2.0,2.0,4000,2.958385600009933
1,1,2.0,2.0,4000,3.0931029000203125
2,1,2.25,2.25,4000,4.05831500000204
1,1,2.0,2.0,4000,2.9464395999966655
2,1,2.25,2.25,4000,3.7039469000010286
3,1,3.75,3.75,4000,3.0217905000026803
4,1,3.75,3.75,4000,3.0368236000067554
5,2,10.5,5.25,4000,35.003308300016215
6,1,7.0,7.0,4000,4.255837200005772
7,1,7.0,7.0,4000,4.180496500019217
8,1,7.125,7.125,4000,4.34804779998376
9,1,5.3125,5.3125,4000,4.713374200015096
1,1,2.0,2.0,4000,3.214717600028962
2,1,2.25,2.25,4000,3.9911308000446297
3,1,2.25,2.25,4000,4.110575900005642
4,1,3.75,3.75,4000,3.044666900008451
5,1,7.0,7.0,4000,3.6516157999867573
6,1,7.0,7.0,4000,3.800955399987288
7,1,7.0,7.0,4000,4.003969900019001
8,1,7.0,7.0,4000,3.911869800009299
9,1,7.125,7.125,4000,4.441010500013363
comparison,1,2.0,2.0,4000,2.959330499987118
1,1,2.0,2.0,4000,3.21545940003125
2,1,2.25,2.25,4000,4.012068799987901
3,1,2.25,2.25,4000,4.342997399973683
4,2,7.5,3.75,4000,3.5090979000087827
5,1,7.0,7.0,4000,3.895181500003673
6,1,7.0,7.0,4000,4.09210340003483
7,1,7.0,7.0,4000,4.076773700013291
8,1,7.125,7.125,4000,4.482108200027142
9,1,7.125,7.125,4000,4.52975129999686
comparison,1,2.0,2.0,4000,3.110393099952489
1,1,2.0,2.0,4000,3.060311399982311
2,1,2.25,2.25,4000,3.798108199960552
3,1,2.25,2.25,4000,3.9901093000080436
4,1,3.75,3.75,4000,3.234229599998798
5,1,7.0,7.0,4000,3.734065599972382
6,1,7.0,7.0,4000,3.857330599974375
7,1,7.0,7.0,4000,3.8797583000268787
8,1,7.125,7.125,4000,4.268200199992862
9,1,7.0,7.0,4000,4.032413300010376
1,1,2.0,2.0,4000,2.9321728000068106
1,1,2.0,2.0,4000,2.9737840999732725
1,1,2.0,2.0,4000,2.9258246999816038
1,1,2.0,2.0,4000,3.1213159000035375
2,1,2.25,2.25,4000,3.784721300005913
3,1,3.75,3.75,4000,3.1385173000162467
4,1,3.75,3.75,4000,3.0861289999447763
5,1,7.0,7.0,4000,3.7613107999786735
6,1,7.0,7.0,4000,3.730164499953389
7,1,7.125,7.125,4000,4.3431065999902785
8,1,7.0,7.0,4000,3.9885326999938115
9,1,7.0,7.0,4000,3.9803966999752447
