iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,t_max_K,t_min_K
1,0.000368,0.000018,-0.110465,0.110466,1.000368,0.100018,-0.110465,1111,4.27,4.27
2,-0.013304,0.000024,-0.206712,0.207140,0.986461,0.100016,-0.207638,11,4.54,4.44
3,-0.034652,0.000093,-0.287726,0.289805,0.965334,0.100085,-0.288064,1,4.80,4.51
4,-0.059266,0.000308,-0.354253,0.359177,0.939568,0.100312,-0.356450,1123,5.06,4.49
5,-0.084011,0.000454,-0.408250,0.416805,0.913671,0.100466,-0.411876,1133,5.29,4.50
6,-0.107699,0.000577,-0.452596,0.465234,0.888774,0.100596,-0.457454,11,5.52,4.50
7,-0.129748,0.000650,-0.489449,0.506355,0.866716,0.100669,-0.494294,1,5.72,4.51
8,-0.149661,0.000663,-0.519647,0.540769,0.844516,0.100695,-0.526237,1134,5.92,4.31
9,-0.167523,0.000502,-0.545219,0.570376,0.825719,0.100536,-0.552448,1144,6.09,4.09
10,-0.181836,0.000324,-0.565686,0.594193,0.810058,0.100360,-0.573751,11,6.26,3.87
11,-0.192797,0.000221,-0.581823,0.612934,0.799550,0.100259,-0.589678,1,6.41,3.63
12,-0.198549,0.000143,-0.592445,0.624830,0.793828,0.100182,-0.600251,111,6.54,3.38
