iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,t_max_K,t_min_K
1,-0.013482,0.000021,-0.144713,0.145339,0.986518,0.100021,-0.144713,1111,4.37,4.37
2,-0.044216,0.000030,-0.260284,0.264013,0.955786,0.100022,-0.260271,11,4.73,4.54
