iter_id,num_faces,total_complexity_score,mean_complexity_per_face,num_rays,elapsed_seconds
1,1,2.0,2.0,4000,4.7747830000007525
2,1,2.25,2.25,4000,4.703508000005968
3,1,3.75,3.75,4000,3.8465397999971174
4,1,3.75,3.75,4000,3.739285099960398
5,1,7.0,7.0,4000,4.366356800019275
6,1,7.0,7.0,4000,4.661145700025372
7,1,7.125,7.125,4000,5.03379539999878
1,1,2.0,2.0,4000,3.1158055999549106
2,1,2.25,2.25,4000,3.9379746000049636
1,1,2.0,2.0,4000,3.1910143999848515
2,1,2.25,2.25,4000,3.8621539999730885
