iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,tmax_K,tmin_K
1,-0.001325,0.000008,-0.047346,0.047365,0.998675,0.100008,-0.047346,1111,300.12,300.12
2,-0.004086,0.000013,-0.081097,0.081200,0.995914,0.100013,-0.081097,1111,300.21,300.21
3,-0.007894,0.000013,-0.113114,0.113389,0.992106,0.100013,-0.113114,1111,300.33,300.22
4,-0.011653,0.000012,-0.138274,0.138764,0.988347,0.100012,-0.138274,1111,300.44,300.20
5,-0.014950,0.000009,-0.157690,0.158397,0.985050,0.100009,-0.157690,1111,300.54,300.15
6,-0.017580,0.000004,-0.172179,0.173074,0.982420,0.100004,-0.172179,1111,300.63,300.07
7,-0.019501,-0.000002,-0.182532,0.183570,0.980499,0.099998,-0.182532,1111,300.71,299.98
