iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,tmax_K,tmin_K
1,-0.001325,0.000008,-0.047346,0.047365,0.998675,0.100008,-0.047346,1111,300.12,300.12
2,-0.002212,0.000014,-0.064467,0.064505,0.997788,0.100011,-0.064460,11,300.21,300.21
3,-0.002604,0.000016,-0.071149,0.071196,0.997404,0.100012,-0.071075,1,300.28,300.27
4,-0.002891,0.000030,-0.075894,0.075949,0.997181,0.100072,-0.075344,1101,300.35,300.33
5,-0.003192,0.000036,-0.080434,0.080498,0.996897,0.100112,-0.079759,1111,300.41,300.38
6,-0.003461,0.000056,-0.084318,0.084389,0.996627,0.100161,-0.083646,11,300.47,300.44
7,-0.003686,0.000060,-0.087516,0.087594,0.996399,0.100165,-0.086869,67,300.52,300.48
8,-0.003898,0.000046,-0.090448,0.090532,0.996185,0.100151,-0.089815,1,300.57,300.53
9,-0.004108,0.000045,-0.093238,0.093328,0.995993,0.100218,-0.092500,1101,300.61,300.57
