iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,t_max_K,t_min_K
1,0.000489,0.000024,-0.146070,0.146071,1.000489,0.100024,-0.146070,1111,4.37,4.37
2,-0.022081,0.000036,-0.267627,0.268536,0.977785,0.100025,-0.267905,11,4.73,4.54
3,-0.054297,0.000045,-0.362831,0.366872,0.945699,0.100035,-0.362819,1,5.07,4.55
4,-0.087725,0.000094,-0.434746,0.443508,0.909860,0.100086,-0.437650,1134,5.39,4.56
5,-0.118980,0.000083,-0.489863,0.504105,0.876810,0.100074,-0.494446,1144,5.68,4.56
6,-0.146640,0.000047,-0.532490,0.552312,0.847855,0.100034,-0.538073,11,5.95,4.43
7,-0.169427,-0.000037,-0.565257,0.590103,0.825068,0.099951,-0.570840,1,6.19,4.18
8,-0.185054,-0.000050,-0.588533,0.616941,0.809441,0.099937,-0.594116,120,6.40,3.85
9,-0.196182,-0.000335,-0.605639,0.636621,0.788347,0.099688,-0.606066,107,6.59,3.50
