ElemLabel,Area,Energy,Flux
358,11.14014662,7,0.6283579774
359,12.18613529,8,0.6564837669
360,5.134752548,3,0.5842540555
361,5.603247023,8,1.427743586
362,12.8514555,8,0.6224975842
363,9.135427426,6,0.656783719
364,9.641022006,12,1.24468132
369,8.690159184,4,0.4602907629
370,8.440053995,9,1.066343889
371,7.118528045,10,1.404784801
372,8.532839108,5,0.5859714377
375,6.627365805,7,1.056226592
376,7.913386102,10,1.263681548
378,10.7048676,12,1.120985374
382,9.697989543,12,1.237369864
383,7.824843813,5,0.63899039
384,6.206315958,4,0.6445047315
385,8.949406169,10,1.117392575
386,14.43759279,18,1.246745234
387,8.954793264,8,0.8933762918
388,14.144171,11,0.77770553
389,8.389523369,11,1.311159111
390,9.57387213,9,0.9400585132
391,9.086211955,9,0.9905117825
392,11.1004157,6,0.5405202978
393,9.021743484,9,0.99758988
394,9.602620149,8,0.8331059519
395,10.83409226,12,1.107614714
398,9.327034515,11,1.179367352
399,9.103102946,10,1.09852652
400,7.978580022,5,0.6266779285
403,4.449829577,4,0.8989108303
404,12.69018912,8,0.6304082567
405,12.34707986,9,0.7289172909
406,9.866966324,10,1.013482733
408,6.272532127,6,0.9565514976
409,7.632723404,7,0.9171038474
411,11.83467698,17,1.436456612
412,11.15356667,9,0.8069167705
413,12.55331587,9,0.7169420488
415,7.47559073,9,1.203918235
416,8.18155137,6,0.7333572484
417,6.482816307,7,1.079777626
418,6.013002047,4,0.6652251186
419,8.596427035,11,1.279601392
421,17.8463376,16,0.8965424926
424,7.709133601,9,1.167446365
425,9.235385779,4,0.4331167204
426,11.42125282,11,0.9631167587
427,11.86967352,9,0.75823484
431,7.239014348,5,0.6907017668
432,8.265771313,6,0.7258850714
433,10.99061797,11,1.00085364
434,6.779924064,5,0.7374713865
437,10.58270087,10,0.9449383598
439,8.211080509,9,1.096079863
440,4.251784517,3,0.7055860869
441,8.106868079,6,0.7401131906
442,6.274960305,5,0.7968177895
443,7.798806187,8,1.025798027
444,13.32146951,16,1.201068695
445,12.63327327,3,0.2374681475
446,7.638170671,3,0.3927642009
447,5.100717772,5,0.9802541962
450,12.41104479,13,1.04745412
451,11.22052104,6,0.534734526
452,14.37497657,9,0.6260879769
453,11.84459428,11,0.9286936924
455,13.71635972,17,1.2393959
456,12.82482556,11,0.8577114711
458,13.25190834,13,0.980990788
459,17.538114,15,0.8552801058
460,8.658224741,10,1.154971175
461,14.27537218,16,1.120811408
464,9.159834923,4,0.4366890925
465,6.835502232,4,0.5851801176
468,5.172280976,4,0.7733531915
469,7.580815884,7,0.9233834599
471,9.765670145,6,0.6143971598
475,14.80235391,10,0.6755682277
476,12.73336557,12,0.9424059908
477,14.35022411,16,1.114965165
478,7.61320842,8,1.050805332
479,12.87982399,13,1.009330563
480,6.040995755,4,0.6621424948
481,9.431588237,7,0.742186769
482,8.630728768,8,0.9269205666
483,6.994288061,13,1.858659507
484,8.258493862,6,0.7265247272
485,14.31463681,15,1.047878489
486,12.68933243,14,1.10328893
487,13.93465113,17,1.219980309
488,7.904439677,6,0.759067087
489,10.00709017,7,0.6995040397
490,9.765256247,8,0.8192309344
491,12.22280042,17,1.390843294
492,13.7764969,19,1.379160475
493,12.60448628,13,1.031378805
494,7.915861126,7,0.8843005061
495,9.075825124,6,0.661096916
496,11.10031,12,1.08105089
497,7.382714249,8,1.083612304
499,13.0874856,8,0.6112709685
504,7.446736494,9,1.208583117
505,5.129679382,10,1.949439576
512,11.86314444,11,0.9272415132
513,9.792371269,12,1.225443733
514,8.051265792,2,0.248408145
515,13.40090613,12,0.8954618352
516,11.48950418,12,1.044431493
518,16.27521173,13,0.7987607298
519,15.55806136,10,0.6427536034
522,11.0066241,6,0.5451262755
523,8.586958624,7,0.8151896738
524,7.296083701,10,1.370598311
525,6.550387026,3,0.4579882056
526,7.237289629,6,0.8290396416
527,14.87170556,15,1.008626747
528,8.094237617,8,0.9883574437
529,7.330899235,10,1.364089135
530,7.15129321,11,1.538183329
535,16.78671011,11,0.655280274
536,14.07066936,11,0.781768068
537,8.755977976,11,1.256284567
538,10.4259967,3,0.287742274
540,11.24303627,7,0.6226076151
541,11.0988379,9,0.8108957068
542,13.42170836,10,0.7450616369
545,8.65616216,10,1.15524638
547,11.88082494,10,0.8416923949
548,13.42435806,12,0.8938974921
552,8.539950342,6,0.7025801977
553,11.2042118,7,0.6247650547
554,11.46622179,9,0.7849141734
555,7.682380035,5,0.6508399711
559,6.472806923,6,0.9269548855
560,7.626182374,4,0.5245088308
561,10.57595486,7,0.6618787704
562,8.196636517,3,0.3660037863
565,14.01447702,13,0.9276122103
568,6.646337779,5,0.752293995
569,15.82413947,12,0.7583350755
570,13.93220467,10,0.7177614914
571,10.88382173,4,0.3675179636
572,13.3476596,15,1.123792518
573,9.953535611,12,1.205601755
574,7.658643772,5,0.6528571048
575,14.59917984,10,0.6849699851
576,9.174786242,7,0.7629605547
577,15.61454393,15,0.9606428511
579,13.52806328,13,0.9609653454
580,11.65690132,16,1.372577459
582,13.62723623,8,0.587059611
583,7.645057229,4,0.5232138727
584,8.169521182,5,0.6120309733
585,15.47656665,18,1.163048654
586,11.53198049,6,0.5202922436
588,12.15845898,11,0.9047199171
589,19.87009322,19,0.9562109141
590,15.6476716,12,0.7668872603
593,14.26906585,11,0.7708983976
594,14.18449818,10,0.704994979
598,11.40606256,10,0.8767267358
599,10.2834547,10,0.972435849
600,10.39555725,9,0.8657544545
601,9.728381977,9,0.9251281478
604,8.843874165,1,0.1130726174
605,15.69980698,18,1.146510911
606,12.31887094,8,0.649410164
607,8.060628983,6,0.7443587855
609,12.26767813,10,0.815150177
610,12.27242221,13,1.05928559
614,14.69159971,15,1.020991607
618,16.31683338,19,1.164441626
619,9.974375602,13,1.30333973
620,8.388293301,9,1.072923857
621,9.401182721,9,0.9573263564
624,16.61170623,20,1.203970244
629,14.35101431,17,1.184585258
631,8.470282349,5,0.5902990944
632,7.622493542,1,0.1311906654
633,16.40130328,4,0.2438830581
634,6.922022304,7,1.011265161
635,8.529472077,5,0.5862027514
639,13.23266119,15,1.133558835
643,11.30283692,10,0.8847336352
644,12.46181359,13,1.043186845
645,14.16980066,10,0.7057262298
648,17.02408102,22,1.292287083
649,7.455744886,6,0.8047485653
652,12.85025909,11,0.8560138691
653,7.217653942,7,0.9698442258
654,7.890818405,7,0.8871069693
656,14.18740057,15,1.057276132
657,11.1327683,6,0.5389495084
658,15.76802542,16,1.014711708
659,8.480246434,12,1.415053217
660,11.62363692,12,1.032379115
661,8.261306979,8,0.9683697774
662,10.44469386,1,0.09574239454
665,9.215155873,7,0.7596181873
666,7.898899995,11,1.39259897
667,5.261096787,15,2.851116527
668,15.40529624,15,0.9736911101
669,9.722365678,6,0.6171337511
671,12.15477611,11,0.9049940449
672,8.367954329,5,0.5975176015
673,12.97952163,1,0.07704444189
675,8.828497798,7,0.7928868716
684,8.024109572,6,0.7477465189
685,4.58669365,5,1.090109866
686,7.759507424,3,0.3866224795
689,9.040030198,9,0.9955718956
690,12.58288209,14,1.11262268
692,6.612299297,6,0.9073999422
693,7.933808085,4,0.5041715097
694,9.421215632,6,0.6368604896
696,8.117481972,6,0.7391454666
699,8.075275665,7,0.8668434727
700,9.465222645,9,0.9508492656
702,7.11511038,5,0.7027297867
704,10.05985074,7,0.6958353737
706,5.985824199,4,0.6682454858
