iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,tmax_K,tmin_K
1,-0.007278,0.000016,-0.107227,0.107474,0.992722,0.100016,-0.107227,1111,300.27,300.27
2,-0.024938,0.000025,-0.196981,0.198553,0.975063,0.100018,-0.196972,11,300.54,300.42
