0.130848,0.021195,-0.011540,336.763578
0.196615,0.084142,-0.025632,291.001041
-0.006603,0.060566,0.002378,428.316523
0.376983,0.099809,-0.080478,159.706648
0.410794,0.047023,-0.095020,133.745500
0.530449,0.050591,-0.151127,39.680180
0.085553,0.054542,-0.003707,367.559112
0.059476,0.086200,0.000126,385.038222
0.324856,0.066453,-0.062673,198.448964
0.297972,0.005166,-0.053807,218.289939
0.075711,0.055169,-0.002202,374.184723
0.095247,0.020728,-0.005255,361.032600
0.215277,0.022119,-0.030211,277.864122
0.122925,0.079952,-0.010068,342.149682
0.158820,0.079554,-0.017142,317.417656
0.262623,0.035204,-0.043066,243.973379
0.173931,0.061819,-0.020404,306.916591
0.105711,0.031213,-0.007007,353.926495
0.318949,0.073049,-0.060680,202.810454
0.164707,0.070091,-0.018392,313.335920
0.131599,0.062610,-0.011688,336.217185
0.027460,0.048707,0.004167,406.313741
0.388637,0.070751,-0.086080,150.628661
0.240030,0.000391,-0.035322,260.496777
0.126479,0.042503,-0.010721,339.744399
0.198558,0.073413,-0.026095,289.640622
0.401439,0.093754,-0.091206,140.862289
0.420471,0.007196,-0.099050,126.347458
0.021481,0.084177,0.004839,410.227908
-0.003184,0.012657,0.001546,426.082927
0.249281,0.028388,-0.039266,253.589230
0.086688,0.081184,-0.003888,366.773967
0.220145,0.000587,-0.030150,274.647258
0.295221,0.019933,-0.052938,220.291944
0.341730,0.009563,-0.068515,185.963443
0.132682,0.009083,-0.011887,335.514008
0.297907,0.077910,-0.053805,218.279930
0.119607,0.042391,-0.009457,344.446873
-0.003377,0.015399,0.000974,426.171916
0.256615,0.008216,-0.041332,248.328653
0.072713,0.087749,-0.001760,376.174530
-0.008505,0.061009,-0.000915,429.357000
0.142944,0.011315,-0.013886,328.449764
0.346745,0.016570,-0.070304,182.217130
-0.009468,0.034518,-0.002583,429.904714
0.284825,0.096108,-0.049716,227.820693
0.170600,0.010016,-0.019662,309.278910
0.021616,0.098651,0.002588,409.967625
0.176662,0.095684,-0.021018,304.984414
0.449241,0.020719,-0.111576,104.066261
0.354947,0.095106,-0.073296,176.019543
0.408852,0.026629,-0.094211,135.249477
0.218840,0.017888,-0.031117,275.339187
0.125496,0.047110,-0.010539,340.413877
0.420523,0.015831,-0.099075,126.300118
0.215112,0.085780,-0.030181,277.932028
0.207375,0.017489,-0.028234,283.461338
0.002617,0.059910,0.006797,422.613765
0.347191,0.026285,-0.070466,181.876759
0.063305,0.059550,-0.000405,382.498076
0.312107,0.060411,-0.058401,207.866385
-0.000000,0.009991,-0.000000,423.922178
0.054497,0.004214,0.000807,388.418840
0.428989,0.047157,-0.102694,119.748629
0.383249,0.056751,-0.083964,154.727279
0.190454,0.068590,-0.024172,295.344639
0.134082,0.074395,-0.012164,334.502905
-0.000000,0.090009,-0.000000,423.865286
-0.008027,0.052847,-0.000087,429.100502
0.065949,0.051490,-0.000778,380.735337
0.058366,0.032656,0.000281,385.817718
0.107759,0.005537,-0.007357,352.552886
0.367848,0.033485,-0.078060,166.380160
0.428797,0.067861,-0.102619,119.879558
0.125171,0.007418,-0.010474,340.666569
0.302045,0.026199,-0.055115,215.288220
0.142969,0.098986,-0.013396,328.433934
0.019505,0.007830,0.005058,411.582350
0.135765,0.023380,-0.012481,333.383898
0.126833,0.003757,-0.010782,339.530438
0.183451,0.089700,-0.022553,300.240426
0.103818,0.038866,-0.006685,355.207279
0.022058,0.078516,0.004775,409.851786
0.050736,0.088531,0.001301,390.862971
0.279511,0.086954,-0.048089,231.695621
0.031343,0.023815,0.003717,403.768517
0.016461,0.092858,0.005384,413.522026
0.354378,0.070118,-0.073080,176.465968
0.013772,0.041775,0.005670,415.323312
-0.002083,0.087176,0.003378,425.427613
0.231731,0.053939,-0.034486,266.135498
0.163759,0.044781,-0.018185,314.013958
0.547238,0.057273,-0.160115,26.079665
0.169676,0.009346,-0.019459,309.923648
0.092975,0.022690,-0.004886,362.569279
0.265517,-0.000093,-0.042459,242.190418
0.369592,0.060351,-0.078726,165.044870
0.049728,0.006829,0.001438,391.592688
0.375135,0.043726,-0.080828,160.876376
0.130065,0.013045,-0.011391,337.307324
0.003699,0.008964,0.006692,421.942947
0.126260,0.017880,-0.010677,339.912812
0.251090,0.025091,-0.039772,252.291924
-0.002636,0.088729,0.002639,425.740048
0.275194,0.000387,-0.045319,235.188071
0.067637,0.100119,-0.001987,379.478301
0.296861,0.085835,-0.053475,219.039706
-0.000000,0.009991,-0.000000,423.922178
0.032575,0.049662,0.003571,402.936333
0.396733,0.092981,-0.089308,144.451561
0.299642,0.062945,-0.054354,217.021080
0.068977,0.078781,-0.001214,378.687070
0.033839,0.092994,0.003419,402.069391
0.342894,0.096298,-0.068954,185.026207
0.267669,0.087305,-0.044552,240.284420
-0.004855,0.033885,0.005407,427.382210
-0.005855,0.044712,0.003676,427.919018
0.365327,0.058623,-0.077122,168.257095
0.410689,0.049559,-0.094978,133.823425
-0.002111,0.086514,0.003238,425.437441
0.103079,0.032918,-0.006559,355.713274
0.017441,0.067365,0.005280,412.896102
0.113841,0.084453,-0.008429,348.352093
0.245895,0.019750,-0.038322,256.027324
0.154806,0.089182,-0.016304,320.193166
0.343286,0.020251,-0.069070,184.795246
0.035402,0.067274,0.003233,401.054179
0.054584,0.073832,0.000791,388.310967
0.000232,0.100015,0.004082,423.961174
0.236176,0.094770,-0.035684,262.929068
0.160503,0.030688,-0.017490,316.286634
-0.000000,0.009991,-0.000000,423.922178
0.155163,0.044036,-0.016372,319.979868
0.242046,0.074535,-0.037274,258.744309
0.124987,0.037272,-0.010443,340.769807
0.194539,0.053625,-0.025132,292.485272
0.402349,0.068944,-0.091567,140.187890
0.297092,0.047728,-0.053538,218.900705
0.143158,0.028099,-0.013931,328.289795
0.204334,0.080923,-0.027498,285.561174
0.091564,0.007696,-0.004657,363.534503
-0.008420,0.031341,-0.000767,429.331242
0.165129,0.014948,-0.018474,313.084256
0.146254,0.067644,-0.014555,326.124001
0.514550,0.044545,-0.142878,52.466795
0.143939,0.016024,-0.014085,327.759776
0.447123,0.017031,-0.110627,105.717706
0.355839,0.021918,-0.073599,175.410865
0.528320,0.026614,-0.149996,41.418321
0.020971,0.043682,0.004896,410.592039
0.220588,0.005222,-0.031563,274.107447
0.010414,0.014947,0.006020,417.544260
0.033631,0.008540,0.003447,402.267506
0.414468,0.047120,-0.096546,130.927013
0.168369,0.090517,-0.019187,310.772579
0.318970,0.086028,-0.060690,202.784892
0.241548,0.016730,-0.037126,259.145550
0.252616,0.061925,-0.040210,251.165411
0.450768,0.017964,-0.112260,102.878964
0.037032,0.047293,0.003036,399.989341
0.409277,0.016517,-0.094383,134.932694
0.052391,0.040118,0.001086,389.796477
0.236042,0.077132,-0.035644,263.038809
0.074660,0.077993,-0.002047,374.873920
0.066062,0.040297,-0.000794,380.667288
0.140681,0.040653,-0.013442,329.987772
0.413173,0.027040,-0.095999,131.937931
0.020352,0.071242,0.004964,410.979615
0.107303,0.014258,-0.007279,352.856474
0.054317,0.064766,0.000828,388.495300
0.023084,0.094850,0.004660,409.164745
0.063832,0.048509,-0.000478,382.153983
0.325526,0.070168,-0.062902,197.950075
0.404957,-0.000058,-0.091798,138.467657
0.151597,0.098917,-0.015015,322.493015
0.291439,0.017794,-0.051748,223.057822
0.314681,0.081908,-0.059258,205.952558
0.072157,0.098714,-0.002536,376.457001
0.074695,0.015799,-0.002048,374.895930
0.322943,0.078190,-0.062027,199.854936
0.181582,0.089167,-0.022127,301.548813
0.093056,0.025773,-0.004899,362.511992
0.258316,0.050307,-0.041828,247.069593
0.073587,0.072367,-0.001888,375.599120
0.133161,0.099817,-0.011632,335.162404
0.413052,0.055927,-0.095960,132.006558
0.351324,0.091523,-0.071977,178.734707
0.026634,0.088703,0.004260,406.829733
0.108371,0.017606,-0.007464,352.127492
0.198278,0.064796,-0.026027,289.844566
0.389750,0.032198,-0.086506,149.815033
0.180522,0.031222,-0.021877,302.335065
0.255413,0.013100,-0.040991,249.190216
0.085296,0.056108,-0.003667,367.731549
0.273772,0.017807,-0.046344,235.917897
0.356777,0.061301,-0.073955,174.675722
0.074582,0.062829,-0.002035,374.937603
0.301683,0.034666,-0.055001,215.547049
0.407354,0.024150,-0.093594,136.398809
0.073034,0.038465,-0.001804,375.995106
-0.002368,0.085884,0.002701,425.572243
0.176026,0.005192,-0.020861,305.497329
0.081234,0.009385,-0.003034,370.502820
0.018154,0.057421,0.005203,412.435152
0.105343,0.051795,-0.006946,354.161405
0.126875,0.079249,-0.010799,339.445573
0.502210,0.013473,-0.136637,62.351502
0.421220,0.076360,-0.099392,125.712916
0.478808,0.073217,-0.125261,80.849700
-0.003474,0.053429,0.007799,426.618280
